index,dist_m,segment_dist_m,speed_m_s,target_m_s,pwm_l,pwm_r,angle_err_deg,angle_err_rad,radius_m
150,1.552,0.010000000000000009,0.77,0.9,464,946,2.103,0.036704274169440755,0.2724478341088082
151,1.563,0.010999999999999899,0.765,0.9,239,697,2.623,0.045779986279811266,0.2402796700891726
152,1.573,0.010000000000000009,0.766,0.9,422,870,2.345,0.04092797095926703,0.24433168235856023
153,1.584,0.01100000000000012,0.768,0.9,428,867,2.576,0.04495968153137393,0.24466365475307159
154,1.595,0.010999999999999899,0.765,0.9,169,654,2.756,0.04810127418496372,0.2286841707706458
155,1.606,0.01100000000000012,0.765,0.9,338,814,2.371,0.04138175656478555,0.2658176189978543
156,1.616,0.010000000000000009,0.773,0.9,424,886,2.258,0.039409534510031964,0.253745702006565
157,1.626,0.009999999999999787,0.776,0.9,463,930,2.567,0.04480260189869444,0.22320132260647096
158,1.636,0.010000000000000009,0.784,0.9,499,915,2.58,0.045029494701453704,0.22207666477938903
159,1.646,0.010000000000000009,0.772,0.9,427,911,2.223,0.038798669271833945,0.2577407985293854
160,1.656,0.010000000000000009,0.782,0.9,151,297,2.655,0.046338491640449446,0.21580331266697694
161,1.666,0.010000000000000009,0.781,0.9,394,833,2.581,0.04504694799397364,0.2219906219026826
162,1.676,0.010000000000000009,0.785,0.9,390,809,2.434,0.042481313993541985,0.2353976150907246
163,1.687,0.01100000000000012,0.787,0.9,227,657,2.562,0.04471533543609472,0.24600061461511027
164,1.697,0.010000000000000009,0.785,0.9,466,25,2.308,0.04028219913602912,0.2482486114085025
165,1.707,0.010000000000000009,0.772,0.9,288,776,1.915,0.03342305517569141,0.299194671086592
166,1.718,0.010999999999999899,0.768,0.9,22,461,1.63,0.02844886680750757,0.38665863475085877
167,1.728,0.010000000000000009,0.765,0.9,42,441,1.307,0.022811453323565885,0.4383762778353663
168,1.739,0.01100000000000012,0.76,0.9,150,329,1.084,0.018919369091618534,0.5814147367563768
169,1.75,0.010999999999999899,0.755,0.9,85,410,0.664,0.011588986233242348,0.949177070246837
170,1.76,0.010000000000000009,0.748,0.9,351,191,0.702,0.012252211349000192,0.8161791953430538
171,1.771,0.010999999999999899,0.752,0.9,391,249,0.351,0.006126105674500096,1.7955942297547003
172,1.781,0.010000000000000009,0.744,0.9,228,321,0.07,0.0012217304763960308,8.185111359011767
173,1.791,0.010000000000000009,0.745,0.9,289,220,0.372,0.006492624817418906,1.5402091266957627
174,1.802,0.01100000000000012,0.75,0.9,52,427,0.248,0.004328416544945937,2.541345059048034
175,1.813,0.010999999999999899,0.76,0.9,204,306,0.18,0.003141592653589793,3.5014087480216656
176,1.823,0.010000000000000009,0.758,0.9,128,383,-0.058,-0.0010122909661567112,-9.878582674669374
177,1.834,0.01100000000000012,0.751,0.9,242,296,0.149,0.0026005405854715507,4.2298897627108225
178,1.844,0.010000000000000009,0.753,0.9,461,77,0.015,0.0002617993877991494,38.19718634205492
179,1.855,0.010999999999999899,0.739,0.9,504,50,-0.343,-0.005986479334340551,-1.8374739785536434
180,1.865,0.010000000000000009,0.751,0.9,430,130,-0.591,-0.010314895879286487,-0.9694717345699218
181,1.876,0.010999999999999899,0.749,0.9,627,132,-0.346,-0.00603883921190038,-1.8215421232482651
182,1.886,0.010000000000000009,0.762,0.9,557,92,-0.591,-0.010314895879286487,-0.9694717345699218
183,1.897,0.01100000000000012,0.755,0.9,488,54,-0.573,-0.010000736613927507,-1.0999189784361474
184,1.907,0.010000000000000009,0.75,0.9,921,402,-0.454,-0.007923794804054257,-1.2620215751780257
185,1.918,0.010999999999999899,0.747,0.9,673,107,-0.701,-0.01223475805648025,-0.8990778525590581
186,1.928,0.010000000000000009,0.748,0.9,449,193,-0.775,-0.013526301702956054,-0.7393003808139661
187,1.939,0.01100000000000012,0.749,0.9,628,169,-0.444,-0.0077492618788548235,-1.4194900329817848
188,1.949,0.010000000000000009,0.755,0.9,337,102,-0.77,-0.013439035240356337,-0.7441010326374334
189,1.96,0.010999999999999899,0.756,0.9,460,113,-0.942,-0.016441001553786583,-0.669058996437261
190,1.97,0.010000000000000009,0.757,0.9,429,124,-0.705,-0.012304571226560023,-0.8127060923841471
191,1.981,0.01100000000000012,0.755,0.9,569,40,-0.831,-0.014503686084072877,-0.7584278876581378
192,1.992,0.010999999999999899,0.749,0.9,1052,527,-0.919,-0.01603957582582789,-0.6858036720825894
